,cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power,x,y,new_cellname,id,fo4_delay,fix_load_delay,group_id,libcell_id,size_class,size_class2,size_cnt
0,FILLER_0_0_104,0,0,0,6696,1080,6804,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0,6750.0,1215.0,cell0,1342,,,51,97,0,0,1
1,FILLER_0_0_111,0,0,0,7074,1080,7614,1350,0,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0,7344.0,1215.0,cell1,1343,,,42,80,0,0,1
2,FILLER_0_0_136,0,0,0,8424,1080,9612,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,9018.0,1215.0,cell2,1344,,,38,76,0,0,1
3,FILLER_0_0_158,0,0,0,9612,1080,9828,1350,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0,9720.0,1215.0,cell3,1345,,,39,77,0,0,1
4,FILLER_0_0_162,0,0,0,9828,1080,9882,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0,9855.0,1215.0,cell4,1346,,,52,98,0,0,1
5,FILLER_0_0_168,0,0,0,10152,1080,10908,1350,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0,10530.0,1215.0,cell5,1347,,,43,81,0,0,1
6,FILLER_0_0_182,0,0,0,10908,1080,11016,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0,10962.0,1215.0,cell6,1348,,,51,97,0,0,1
7,FILLER_0_0_184,0,0,0,11016,1080,11070,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0,11043.0,1215.0,cell7,1349,,,52,98,0,0,1
8,FILLER_0_0_190,0,0,0,11340,1080,11448,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0,11394.0,1215.0,cell8,1350,,,51,97,0,0,1
9,FILLER_0_0_197,0,0,0,11718,1080,12906,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,12312.0,1215.0,cell9,1351,,,38,76,0,0,1
10,FILLER_0_0_2,0,0,0,1188,1080,2376,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,1782.0,1215.0,cell10,1352,,,38,76,0,0,1
11,FILLER_0_0_219,0,0,0,12906,1080,14094,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,13500.0,1215.0,cell11,1353,,,38,76,0,0,1
12,FILLER_0_0_24,0,0,0,2376,1080,3564,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,2970.0,1215.0,cell12,1354,,,38,76,0,0,1
13,FILLER_0_0_241,0,0,0,14094,1080,14850,1350,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0,14472.0,1215.0,cell13,1355,,,43,81,0,0,1
14,FILLER_0_0_255,0,0,0,14850,1080,14958,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0,14904.0,1215.0,cell14,1356,,,51,97,0,0,1
15,FILLER_0_0_257,0,0,0,14958,1080,15012,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0,14985.0,1215.0,cell15,1357,,,52,98,0,0,1
16,FILLER_0_0_46,0,0,0,3564,1080,4320,1350,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0,3942.0,1215.0,cell16,1358,,,43,81,0,0,1
17,FILLER_0_0_60,0,0,0,4320,1080,4644,1350,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0,4482.0,1215.0,cell17,1359,,,40,78,0,0,1
18,FILLER_0_0_86,0,0,0,5724,1080,6264,1350,0,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0,5994.0,1215.0,cell18,1360,,,42,80,0,0,1
19,FILLER_0_0_96,0,0,0,6264,1080,6372,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0,6318.0,1215.0,cell19,1361,,,51,97,0,0,1
20,FILLER_0_0_98,0,0,0,6372,1080,6426,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0,6399.0,1215.0,cell20,1362,,,52,98,0,0,1
21,FILLER_0_10_117,0,0,0,7398,3780,7938,4050,0,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0,7668.0,3915.0,cell21,1363,,,42,80,0,0,1
22,FILLER_0_10_148,0,0,0,9072,3780,9288,4050,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0,9180.0,3915.0,cell22,1364,,,39,77,0,0,1
23,FILLER_0_10_158,0,0,0,9612,3780,10800,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,10206.0,3915.0,cell23,1365,,,38,76,0,0,1
24,FILLER_0_10_180,0,0,0,10800,3780,11988,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,11394.0,3915.0,cell24,1366,,,38,76,0,0,1
25,FILLER_0_10_2,0,0,0,1188,3780,2376,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,1782.0,3915.0,cell25,1367,,,38,76,0,0,1
26,FILLER_0_10_202,0,0,0,11988,3780,13176,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,12582.0,3915.0,cell26,1368,,,38,76,0,0,1
27,FILLER_0_10_224,0,0,0,13176,3780,13500,4050,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0,13338.0,3915.0,cell27,1369,,,40,78,0,0,1
28,FILLER_0_10_235,0,0,0,13770,3780,14958,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,14364.0,3915.0,cell28,1370,,,38,76,0,0,1
29,FILLER_0_10_24,0,0,0,2376,3780,3564,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,2970.0,3915.0,cell29,1371,,,38,76,0,0,1
30,FILLER_0_10_257,0,0,0,14958,3780,15012,4050,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0,14985.0,3915.0,cell30,1372,,,52,98,0,0,1
31,FILLER_0_10_46,0,0,0,3564,3780,4752,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,4158.0,3915.0,cell31,1373,,,38,76,0,0,1
32,FILLER_0_10_68,0,0,0,4752,3780,5076,4050,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0,4914.0,3915.0,cell32,1374,,,40,78,0,0,1
33,FILLER_0_10_95,0,0,0,6210,3780,7398,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0,6804.0,3915.0,cell33,1375,,,38,76,0,0,1
34,FILLER_0_11_110,0,0,0,7020,4050,7344,4320,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0,7182.0,4185.0,cell34,1376,,,40,78,0,0,1
35,FILLER_0_11_116,0,0,0,7344,4050,7398,4320,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0,7371.0,4185.0,cell35,1377,,,52,98,0,0,1
36,FILLER_0_11_126,0,0,0,7884,4050,7992,4320,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0,7938.0,4185.0,cell36,1378,,,51,97,0,0,1
